cluster	manual_type	score	confidence	marker_basis	evidence_support	annotation_note
0	Oligodendrocyte-1	0.95	high	PLP1+MBP+ASPA+CNP	Mature oligodendrocyte panel (CellMarker 2.0, PanglaoDB); MBP/PLP1/ASPA/CNP all near-saturating	Mature oligodendrocyte; PLP1 cell_ratio 0.997, MBP 0.92, ASPA 0.80. Same cell type as cluster 11 (largest oligo cluster). PENK/SLC1A3 here are ambient/background.
1	D1-MSN	0.85	high	DRD1+TAC1+PDYN+GPR149	Striatal direct-pathway MSN panel (Allen Brain Atlas, Saunders 2018); DRD1/TAC1/PDYN co-expressed	Direct-pathway MSN: TAC1 0.94, GPR149 0.80, DRD1 0.74, PDYN 0.58. PENK (D2) here is ambient (flagged globally).
2	D2-MSN	0.88	high	DRD2+ADORA2A+GPR6+PENK	Striatal indirect-pathway MSN panel (Allen Brain Atlas, Saunders 2018); DRD2/ADORA2A/GPR6 co-expressed	Indirect-pathway MSN: PENK 0.99, DRD2 0.71, ADORA2A 0.70, GPR6 0.60. Cluster-specific DRD2/ADORA2A confirm D2 over ambient PENK alone.
3	Astrocyte-1	0.90	high	SLC1A3+GPC5+AQP4	Astrocyte panel (markers.md; AQP4/SLC1A3/GFAP); CellMarker 2.0 / PanglaoDB	Astrocyte: SLC1A3 0.99, GPC5 0.87, AQP4 0.82. A weak neuron signal here is ambient PENK/TAC1, not a doublet (confirm per-cell if needed). Same type as cluster 9.
4	MSN	0.35	low	TAC1+PENK+RELN	Generic striatal MSN; no specific D1 or D2 subtype marker dominates	Medium spiny neuron, subtype UNRESOLVED: PENK 0.82 and TAC1 0.63 are both non-specific/ambient here; DRD1 (0.21) ~ ADORA2A (0.21), DRD2 0.09. Likely low-RNA/transitional MSN. Verify D1/D2 split and possible low-quality cells.
5	OPC	0.82	high	PDGFRA+GPR17+OLIG1+OLIG2	OPC panel (markers.md; PDGFRA/OLIG1/OLIG2/CSPG4/GPR17); PanglaoDB / CellMarker 2.0	Oligodendrocyte precursor: PDGFRA 0.69 (cluster-specific; ~0.01-0.02 elsewhere) is definitive. SLC1A3 is shared with astrocytes; input label Astrocyte is incorrect.
6	Microglia	0.88	high	P2RY12+CX3CR1+TMEM119+CD68	Homeostatic microglia panel (markers.md; TMEM119/P2RY12/CX3CR1); PanglaoDB	Microglia: P2RY12 0.75, CX3CR1 0.51 (both cluster-specific). PENK/PLP1/TAC1 here are ambient.
7	Neuroblast	0.45	low	DCX+TOP2A	Neuroblast/proliferating panel (DCX, SOX4/11; TOP2A/MKI67); Allen developmental atlas	Proliferating neuroblast: DCX 0.43 and TOP2A 0.12 are cluster-specific (DCX mean 0.98 vs ~0.3-0.5; TOP2A 0.31 vs ~0.005 elsewhere). Plausible adult SVZ neurogenesis; weak overall signal, treat as provisional.
8	Interneuron	0.70	moderate	SST+NPY+VIP+LHX6	Striatal GABAergic interneuron panel; Munoz-Manchado 2018 Cell Reports scRNA-seq + PatchSeq (LHX6 specifies Sst/Npy and Pvalb INs)	GABAergic interneuron: LHX6 0.16 (specific; ~0.005 elsewhere), SST 0.29, NPY 0.26, VIP 0.20 all enriched. Script's D1-MSN candidate overridden — interneuron markers dominate. PENK/TAC1 are ambient.
9	Astrocyte-2	0.88	high	SLC1A3+AQP4+GPC5	Astrocyte panel (markers.md; AQP4/SLC1A3/GFAP); CellMarker 2.0 / PanglaoDB	Astrocyte: SLC1A3 0.90, AQP4 0.78, GPC5 0.48. Same cell type as cluster 3. PENK/PLP1 here are ambient.
10	Endothelial	0.92	high	ESAM+VWF+PECAM1+NOS3	Vascular endothelial panel (markers.md; PECAM1/CDH5/VWF/ESAM/CLDN5); PanglaoDB	Endothelial: ESAM 0.55, VWF 0.53, PECAM1 0.49, NOS3 0.14 — all highly cluster-specific (~0.01 elsewhere). Top PENK/PLP1 are ambient.
11	Oligodendrocyte-2	0.85	high	PLP1+MBP+ASPA+CNP	Mature oligodendrocyte panel (CellMarker 2.0, PanglaoDB)	Mature oligodendrocyte: PLP1 0.98, MBP 0.81, ASPA 0.71. Same type as cluster 0 (smaller cluster). Moderate P2RY12/CX3CR1 (0.48/0.28) suggests minor microglial contamination; rule out oligo-microglia doublet per-cell.
12	COP	0.72	moderate	GPR17+PLP1+MBP+CNP	Committed oligodendrocyte precursor (COP); GPR17/BCAS1 mark the OPC->oligo intermediate (Marques 2016; Glia COP review)	Committed oligodendrocyte precursor / newly-forming oligodendrocyte: GPR17 0.81 (specific) + mature PLP1/MBP/CNP high but PDGFRA low (0.08). Distinct from classic PDGFRA+ OPC (cluster 5). Script's plain OPC refined to COP.
